_id,movieId,userId,nickName,content,score,approve,reply,startTime
134968160,367889,629075801,wkI370624731,还行吧，一般的电影…,4,0,0,2018-01-07 16:52:53
134120093,367889,57905897,咖喱粥,"2018.01.01 Beijing键盘侠们都应该好好看看，
虽然你们看了后也并不会有什么卵用。藏在匿名的id后面的发声总是容易的。电影结尾的反转实在好评。",4,0,0,2018-01-02 02:33:27
133063778,367889,598681209,董小妖980113,一般般，大体上过得去,4,0,0,2017-12-27 11:53:44
